"","CYFZ_PBMC","FY2H_PBMC","FLWA_PBMC","453W_PBMC","684C_PBMC","CZJE_PBMC","DZQV_PBMC","925L_PBMC","9JD4_PBMC","G4YW_PBMC","4DUY_PBMC","36TS_PBMC","CR3L_PBMC"
"A2M",36.639632,40.423367,42.562249,67.06031,22.891169,33.671085,44.335379,55.98437981,18.025644,26.9692806,24.77942,41.728036,39.621263
"ABCB10",3.566941,4.95804,10.32578,9.093818,9.335853,5.04099,3.53009,3.479193,7.19413,7.94684,3.470464,6.988003,3.80447
"ABCB9",3.2068063,1.6045801,3.381447118,4.2072193,3.93813,6.088132,3.2820628,4.430083052,2.7752816,4.554966,2.9673412,2.71244965,2.777873
"ABI1",142.3458628,137.9686331,161.5009912,152.402848,150.272872,143.7123516,95.57416,129.4541952,114.484418,125.434642,132.212781,100.06195,115.2985745
"ABL1",3.9132181,3.958835,8.4321206,6.20899,5.693247,8.113865,5.2778489,6.36239,5.50422,6.894145,4.255463,4.94436,5.753658
"ABL2",2.234016,2.45955,2.4502774,1.690504,1.982259,2.569469,1.165227,4.0813478,6.2425844,2.046406,1.642785,3.551945,1.8996
"ACE",2.4569519,2.952174,1.5601017,9.00098694,4.885682,1.674149,2.821409001,3.2125869,2.88060373,3.9488664,1.1821776,1.91454,2.1534422
"ACIN1",34.274976,16.99187338,20.97597,22.187909,23.641242,26.35316,47.7145007,54.545152,46.890799,51.8323054,40.664749,38.96548,29.110811
"ACKR2",1.579675,1.665739,2.016849,1.244623,0.6308779,0.915057,0.805619,2.75985,0.907078,2.217693,0.784456,0.333533,1.380974
"ACKR3",5.9525,3.09416,1.760598,4.13649,3.044139,1.862665,3.77143,2.589898,1.52145,3.508144,2.972289,2.60424,1.00713
"ACKR4",0,0.818949,0,0.309284,0.565685,0.539205,0.0959888,0.213055,0.0468998,0.402365,0.718307,0.192726,0.0694267
"ACOD1",0.096492,0,1.14972,0,0,0,0.129933,0.139086,0.338468,0,0,0,0
"ACP5",43.30291,45.271354,40.74484,34.80668,50.712324,47.811646,78.17383,51.553486,51.82357,67.847829,118.36995,44.505561,48.57867
"ACP6",12.44391,5.309811,8.058769,10.55092,8.912813,13.811042,8.493649,8.565555,8.230989,9.740357,11.7049903,7.1084502,7.750301
"ACTB",11487.8276,13939.51885,12324.23371,13527.49009,11112.63607,11276.60068,11685.04033,11955.17277,11440.55459,12723.73113,13958.71558,14275.45513,9499.8888
"ACTG1",1628.95302,1785.90367,1824.929386,1889.867604,1541.17703,1406.961849,2143.993768,2032.667124,1857.255221,2054.112689,2916.253749,2147.716356,1112.422465
"ACTL6A",61.86982,57.08033,74.950729,65.54557,56.518267,51.80045,60.671909,77.9650681,78.88492,74.08182,85.16008,33.31545008,45.354196
"ACTN1",61.774948,139.8495972,105.4103403,98.20665,95.216531,85.72651702,92.88334101,102.041376,95.509903,97.811362,114.380709,93.11956,155.381994
"ACTR2",152.95901,186.36476,140.91193,166.43773,162.98138,267.5558,207.48224,263.54221,196.538752,214.86086,260.95791,238.172,284.63495
"ACTR3",463.28755,472.463557,409.217051,479.6362448,436.00655,428.62687,448.43841,455.851997,434.50095,459.14939,498.56768,399.67207,378.84694
"ACVR1B",2.110765,5.580808,5.551252,5.538696,4.536171,4.663789,2.500619,4.025266,5.676816,9.417343,6.458615,5.885098,7.206358
"ACVR2A",17.857504,14.481287,15.276005,16.130916,16.839729,11.199451,11.047295,15.8067693,6.14451,11.707474,12.810429,13.752609,5.420049
"ADA",56.718376,60.675773,69.12189,75.97533,74.034721,48.899397,54.123835,38.923621,57.938159,63.850626,89.39321,46.514872,65.597148
"ADAM10",137.578088,208.190602,122.5642355,197.52863,169.1460719,177.87903,156.482779,184.371178,131.1423878,131.7136126,173.31551,127.581115,222.0308239
"ADAM15",52.96881622,48.52611,48.7089288,83.7880755,56.27781619,58.10854623,64.54446101,66.26250175,60.9950846,62.8199184,50.68165078,57.3526878,48.2278157
"ADAM17",31.261506,36.98112,22.672885,28.68047,32.4035246,24.885501,18.797375,21.57286,17.29893,19.756902,28.48218,21.77156,26.93617
"ADAM8",93.514528,76.852599,97.297528,115.807834,93.214062,80.830495,69.494879,122.037148,117.541653,103.751032,130.687579,78.760804,92.993825
"ADAM9",13.247241,27.784645,24.00864124,28.879029,17.22711,15.48562054,13.25448111,16.864624,14.714545,15.62361483,18.513359,18.385295,28.863288
"ADAMDEC1",2.902494,0.429763,1.263953,0.0819913,1.523308,0.822302,1.350031,1.144708,0.783775,0.805364,0.259965,1.68265,0.165544
"ADAMTS13",0.3892116,0.514652,0.4360425,0.3081517,0.043302,1.318295,0.501411487,0,2.331335,0.119298,0.992733901,0.128486,0.970799
"ADAR",42.562252,48.166323,66.94903,90.880979,69.945681,53.587698,90.819762,73.76609,70.487634,58.184495,81.525035,65.903503,107.617363
"ADARB1",1.717704646,5.450236612,2.250614,5.570514,2.2245309,2.6997055,3.159983006,8.156256,2.3806353,4.5579949,5.135889,2.206428,10.379066
"ADCY7",81.985379,97.10126,63.8983201,108.7658507,67.428242,74.325659,81.305564,84.93666402,70.764015,68.994754,105.8918,63.876302,92.748895
"ADD2",1.679463,2.43516,1.252115,2.621698,4.2646553,1.329017,1.05231,3.042634314,1.984009,1.529178309,2.313817,0.969375,2.868087
"ADGRB1",0.0944043,0,0,0,0.151255,0.2794779,0,0.0626908,0.3392635,0.1288117,0.0621891,0.0960984,0.3001897
"ADGRE1",20.930711,46.268351,31.98492,42.066872,25.649502,20.643506,20.646658,23.990879,22.714026,25.457116,48.54122,38.363158,27.06782
"ADGRE2",29.55553781,36.7605095,22.529311,43.39628924,26.45046,34.670226,32.187501,40.203771,29.72190614,40.660822,69.650229,54.89139,35.210808
"ADGRE5",270.3930575,236.1200994,233.128722,266.86591,189.368781,266.490879,259.21999,230.645948,293.15529,225.808693,323.53749,349.622389,210.561178
"ADGRF5",0,0,0,0,0.0637096,0.0278976,0.0149131,0,0,0,0,0,0.0220727
"ADGRG3",3.5218007,20.11443,17.821692,20.74162,14.747575,15.2520131,10.92849,12.940482,7.483199,5.128755,20.602674,19.013979,45.15664757
"ADIPOQ",0.250881206,0.286681339,0.16532898,0.182489721,0.208897708,0.170132504,0.123086085,0.262559884,0.111511018,0.07821563,0.128896784,0.163173304,0.1468459
"ADORA1",0,0,0,0,0,0,0,0,0,0,0,0.261589932,0.55645123
"ADORA2A",33.71586641,28.089214,34.112189,26.953833,31.568142,20.840211,18.37826701,33.523278,30.90914,33.14904264,24.5451,34.93246283,33.224834
"ADORA2B",10.32335,7.00413,8.43291,10.30723,13.74356,0.886918,4.118853,8.96306,4.13137,3.87127,3.914609,5.00061,5.144673
"ADSS1",0.4591018,0.846342,1.812205,2.001127,1.112851,0.405346,0.593763,1.760095,1.4037961,2.032043,4.389863,1.971965003,0.0521809
"ADSS2",42.89305,35.26791,43.802946,51.418376,50.045993,50.189323,48.52142,37.90465,41.85572,37.795722,57.119745,34.545741,45.21339
"ADTRP",5.728579,3.69704,14.692801,9.671138,19.02,6.238593,4.346483,1.406283,9.348337,5.512554,12.19944,7.160564,10.055979
"AGER",17.949962,4.971319604,8.88011543,15.4598081,14.46932,8.362727016,11.271262,8.169262,23.692505,11.23579,8.843164,6.344102,15.95578
"AGPAT5",11.394188,12.32251,14.76499,13.55954,21.505569,13.84210211,14.67691,20.025723,16.844431,12.26514,13.425893,10.95151712,23.619073
"AHCY",34.088615,42.031175,42.491195,36.699757,35.887066,45.661473,42.88013,36.016641,33.578981,39.714985,55.005481,36.905822,33.23301
"AHR",39.88194639,46.20719,60.03820344,60.91881846,21.59681,26.105947,41.579687,47.79556,34.1768,37.745603,31.896255,46.41454,25.551405
"AHSP",10.932,4.576546,3.15651,2.310943,0.51257,0.438223,11.399438,1.20673,5.30605,0.472997,1.87561,3.06369,0
"AICDA",0.664458,0.362915,0.415764,0.9523371,0.60114,0.44254,0.208173,0.433815,1.21669,0.9220785,0.132221,0.199171,0.790562
"AIF1",209.546979,262.810035,263.34798,165.934296,163.051402,155.088561,127.08924,133.5381143,170.306117,230.98424,167.628272,214.408292,154.328279
"AIM2",16.441468,20.812768,14.88158,12.28525,21.7324,16.625622,33.221901,9.25344,7.09474,17.2948,12.825699,11.611449,8.01431
"AIMP1",38.93607602,51.62609001,44.107654,38.73708,41.54631,38.35021015,38.072391,26.2849519,29.2821,27.28049,25.254579,27.60949,35.82092
"AIRE",0.377565,0.2152198,0.0429215,0,0.202149,0.384347,0.114588,0.276438,0.3712861,0.077268826,0.0551634,0.229636,0.0574423
"AKAP1",5.563310945,8.081161,6.84551853,7.76974,9.91417425,5.35768,7.01497376,4.218292,7.268805,7.421172,6.0545841,10.038865,6.894218
"AKAP17A",1.140305,2.24454,4.071962,1.811115,1.576883191,1.868287001,1.86323,1.549289,3.571748,2.870460289,2.193691,3.355288,3.425205
"AKAP8",25.36201,32.16682,37.20243,40.88594,39.48201,35.248706,30.64717,25.28946,31.26517,28.99453,24.018656,34.99951,46.3474
"AKIRIN1",108.78914,94.317726,129.01943,135.27205,107.16342,103.0173,80.8322,82.4743,85.000373,93.42297,107.18928,88.93996,107.5512
"AKIRIN2",121.0939,237.84,204.3147,245.692,191.0672,282.397,96.9598,107.0872,78.9189,82.4709,101.9118,317.79,161.0564
"AKT1",15.080423,5.994777593,24.41541893,20.027141,15.3490089,14.48678146,15.380573,10.157593,15.960809,23.097653,8.226247,19.56128,14.30313822
"ALAS1",37.6114887,42.45731,38.60364,28.36346,35.26248277,33.8392,40.95542,32.1025,29.708874,41.66983,42.82896,19.99765383,23.83072
"ALAS2",322.4654,296.9147,57.76824,166.01937,15.15994,47.4535,389.7408,101.5812,535.177,27.92622,198.4054,204.31268,75.145955
"ALCAM",8.651741,17.48457538,21.1793603,7.465214,10.70325,15.84036,7.059115,13.694102,6.963594,15.109287,14.78641,15.9720546,13.608046
"ALOX15",1.116514,0.92638,0,0,0,0.21229,0,1.0385072,0.223057,0.703816,0.686281,0.978111,0.973816
"ALOX5",118.242735,168.667427,156.32739,136.745279,151.28871,132.777802,139.079646,156.95569,123.972491,154.44536,166.78098,167.923782,200.92955
"ALPK1",15.18352,16.343723,14.681529,10.525814,14.4366896,11.831613,18.023633,20.47728115,15.356259,12.25726,20.983644,11.2731659,18.405918
"AMBP",0.256657,0,0,0,0,0,0,0,0,0.230091,0,0,0
"AMBRA1",13.102216,7.876574,5.81182,12.001289,8.042186,11.487676,12.7030513,14.022675,12.63259408,11.811036,13.104153,11.5117993,11.557707
"ANG",1.725712,5.58569,4.36056,4.56167,5.449567,5.99499,3.506626,2.95251,6.3666,9.61508,1.725232,2.66137,5.85249
"ANGPT1",2.772205928,2.547012656,0.2094643,0.7650648,1.158360016,5.132849,1.902,4.553574,3.31353,2.410834,1.898655732,1.842309,2.147851621
"ANKHD1",75.35025091,70.98685431,95.9936498,106.2682648,81.695215,66.01399177,60.78718771,58.94117787,92.00261778,80.647255,42.60273103,66.410952,84.90927204
"ANKLE1",4.014986192,3.52633426,3.777092,3.479754001,7.940636,2.363642,3.758559,3.3062099,2.190104,3.701311,3.823166,3.02805,1.96312
"ANKRD17",20.023876,18.392668,21.584808,21.172582,17.960731,18.2804193,24.383796,22.3816784,21.239077,17.871763,16.574137,19.503216,10.504405
"ANKRD54",21.2393657,19.551481,30.793007,30.25942,34.267347,15.24548,17.561684,24.498709,24.844109,32.355587,36.285264,14.164536,16.231827
"ANLN",0.3798623,1.3124328,0.0462981,1.971226,3.09132752,2.491956,0.88911353,0.2278366,2.2619486,0.631725,1.273316303,1.9351204,0.0527163
"ANO6",26.50269413,27.075876,21.69431517,21.980245,22.44505901,23.73683417,24.190048,31.85689002,22.86153,20.108504,25.622125,27.449974,24.00181396
"ANXA1",1160.30343,1078.22227,1456.91505,1701.0487,1307.0448,1352.48669,851.10155,797.62442,873.33422,792.21496,968.85242,1301.02663,939.73551
"ANXA2",824.277905,1390.407306,1008.825752,1032.170439,1168.50447,919.128961,758.0955646,787.532465,733.157392,918.590825,839.596093,810.132389,792.1089221
"ANXA3",9.090738,18.158413,30.12663,18.553173,5.9135331,9.6170261,42.489594,14.25903836,6.0478122,8.346761026,8.912487,16.2114982,9.502879
"AP1G1",20.514442,20.2092198,30.3039717,28.1355426,27.9077834,28.610245,32.613667,32.39674,18.017141,34.18629,30.163628,42.2198473,29.73154538
"AP3B1",38.097231,39.879329,51.589548,55.72745,38.169256,52.378652,42.872317,51.982286,40.99922,36.976889,45.094266,33.178754,41.451256
"AP3D1",8.942739,6.343642,20.778435,18.809057,6.086503,10.343761,12.303992,20.203667,14.3951894,18.685382,15.1516705,11.904548,13.557623
"APBB1IP",57.039613,48.5909,49.2818,60.5439,51.367898,57.65846,53.104606,65.166202,48.6867,48.517558,39.237257,65.953379,56.32833
"APLF",1.815953,1.940695,3.240873,2.509213,3.415141,1.805862,2.268103,2.226627,3.052767,2.473044,2.595356,1.72645464,0.9280594
"APOA1",0,0,1.093591095,0.248612751,0,0,0,0,0,0,1.25696,0.118643406,0
"APOA2",12.80723,14.57992,8.000074,4.80496,9.544732,3.235427,12.02272,11.4677526,2.425395,2.987418,1.2733,14.813641,1.9479
"APOBEC3A",97.01179,383.42293,74.516,153.21515,108.96422,92.66159,226.8648,64.76159,136.28248,107.0015,55.114595,194.3736,51.038802
"APOBEC3B",13.321574,63.76159,0.229264,10.478004,11.784898,6.618814,2.382142,6.328067,17.145109,9.999828,4.879767,19.937385,0.0818762
"APOBEC3C",188.2499,204.9331,140.3685,153.0058,202.2576,145.6971,128.338,135.3425,124.0492,134.1441,116.3721,131.719,118.733
"APOBEC3D",8.58549,6.53578,6.33184,11.1929,11.653953,6.1101,7.3919,12.528427,6.896505,11.406659,7.3581,7.118390001,4.83638
"APOBEC3F",11.090163,17.342819,12.22551,13.93627,13.87616,14.85606,20.70289,15.17117,12.34418,12.87491,15.82729,10.13651,8.16755
"APOBEC3G",203.088732,162.787361,171.82178,199.44965,165.108225,125.55563,163.19159,122.886009,123.914489,134.274533,171.211707,113.893054,94.24281
"APOBEC3H",6.542956,3.804734,2.184768,3.48482,5.256995,4.058961,3.086678,2.851,5.175011,5.178834,5.262621,2.99876,3.03804
"APOD",0,0,0.154262,0.940779,0,0.0838179,0.144911,0,0.285189,0.4289,0,0.389394,0
"APOE",2.726661,0,1.18285,0.78361,0.832021,0.326453,0.583974,1.39321,0.69594,0.767414,0.482333,0.891722,0.435041
"APOL1",21.794635,24.1137991,10.822418,16.93078914,14.589963,18.28286269,43.72219614,19.292084,19.976494,20.001984,24.50993042,17.05921,14.40061
"APP",29.308799,40.26204202,40.85349,36.981412,28.933069,37.185688,51.377651,58.599772,54.813761,56.071203,54.47584221,46.34260647,50.81041
"APPL1",16.948041,12.927742,16.6221,17.735455,12.838675,14.845293,10.761103,19.284821,12.798054,13.812325,18.567252,16.849355,20.24225
"APPL2",22.813404,16.65362207,30.310735,39.3397544,26.29634231,37.83028273,21.038255,27.90649904,23.82378,19.873247,23.13433301,34.14831322,30.70852801
"AQP3",39.8499916,29.598119,68.900767,55.589681,76.8772653,61.479336,77.53513701,72.485911,95.561518,81.794353,126.3766801,64.3849239,56.558596
"ARG1",7.514033,9.06377,9.56772,15.360951,5.424355111,8.089964,16.442468,6.24564,3.529091,5.198002,4.6132783,10.328531,13.730212
"ARG2",6.33277,3.035403,2.257464,6.07075,1.725058,2.450285,3.51331,10.29445,12.97424,6.94273,4.27581,7.614725,8.010458
"ARHGEF2",70.0174278,68.089408,59.1070727,79.327699,45.882291,44.06745,56.159728,87.15866837,69.902219,62.922785,76.1628383,36.780756,41.74974513
"ARHGEF5",0.974579,0.980876,2.836901,1.584317,2.412542,0.595628,0.923613,1.974718,4.152179,0.965282,1.150709017,0.2202463,1.292605
"ARID1A",36.388702,29.886152,52.57370004,50.910139,50.329843,44.46074,40.434,41.470331,47.987263,50.2382777,30.296976,37.8387833,47.790523
"ARID1B",25.4844944,18.56647303,29.42648079,25.1780617,22.350379,17.86847021,26.4808947,29.37506505,21.9770835,20.15335184,18.289237,16.658338,23.5546096
"ARID2",25.056101,20.8462286,12.322235,20.204119,21.887298,22.2482341,16.59991,28.15883067,15.667544,17.036227,19.248822,19.60711,28.608364
"ARID4A",51.6632,50.341191,48.82165561,65.765189,48.61035722,78.016934,50.9927474,64.903751,44.365061,62.28213443,56.782624,56.895175,78.992757
"ARID5A",63.222051,66.791673,87.7323682,81.76239,62.693074,78.4347,80.31015,68.9240674,85.38931,69.436892,67.92704,92.640535,85.0661
"ARIH2",160.712165,152.7653739,163.037359,192.743848,176.43179,210.732967,120.631265,99.374071,115.376859,115.102487,118.550518,163.060233,155.512925
"ARL11",8.70561,14.03,11.93257,11.74223,10.31138,7.13571,12.06862,20.51536,13.48838,27.1359,28.4316,18.90471,8.63036
"ARL8B",86.19871203,86.66620003,101.3107351,96.06423192,85.0201798,89.51863814,74.06547385,77.94602395,77.92591827,66.77802718,80.95398228,81.08436328,82.08755313
"ARMC5",7.30353,9.132111,9.43222,13.78105,12.419993,10.57892718,10.031542,7.1729269,8.664517,9.20681,5.533724009,12.8011583,10.97042
"ARMC6",26.83254,24.7562394,33.8888149,30.13590017,40.853203,26.84346981,23.2315228,25.589383,24.363678,29.44846,36.615396,30.863267,27.570351
"ARNT",42.610868,46.282081,38.25499,36.02939,36.153,34.791254,31.11045741,42.690161,30.42275393,34.533343,46.325871,28.69482,34.441435
"ARRB2",132.5861855,154.030135,226.700719,217.9754534,230.28676,183.274272,95.23841523,108.2085312,121.2436101,127.000077,133.4124107,156.305526,137.707755
"ARTN",0,0,0.159264,0,0,0,0,0,0,0,0,0,0
"ASB2",1.768814,3.298567,3.142695,3.44431,5.120948,2.469213,1.688197,2.497513,2.748984265,5.324159,7.15838,6.015509,2.13891
"ASH2L",30.83893,46.180547,41.50442919,47.19436232,53.079479,32.08386463,40.828459,43.965461,32.858951,35.1116878,47.45274,28.295811,33.484985
"ASS1",1.02728,0.39576,0.388787,0.065837834,0.197809,0,0.182233,1.22569,0,0,0.50548,0,1.553855
"ASXL1",15.709977,13.221955,17.541086,15.49278942,21.437552,12.275886,15.45801802,22.31559,15.210951,14.3502533,15.38482122,16.296993,25.584559
"ATAD3A",4.037246,4.546248,5.996348,5.098941,3.4633355,1.960483007,5.906455,7.526603,6.5351,3.645739,4.11880108,5.819271708,3.62381
"ATAD5",2.076383,2.06727,3.040804,2.50557,1.607995,2.067801,2.208044,2.9055598,0.9692432,2.714496,3.023402,1.311442,4.2958388
"ATF2",30.90265998,35.09678587,16.854862,34.48237567,34.615234,30.39141333,31.06801097,37.349513,28.47117075,27.69950738,40.90008339,26.209635,32.91318204
"ATF4",113.2512,116.69949,133.50532,142.47142,101.740357,196.93376,136.98792,137.02054,156.75503,156.25116,164.05105,305.28135,117.15276
"ATG12",79.35573,59.55508,98.347512,121.81569,66.862992,112.417805,76.326046,67.29269,72.1380638,61.4649001,70.66865,90.624137,104.546641
"ATG5",33.90378112,31.83696,32.43834883,36.48773129,38.29856,39.2407034,36.06411212,37.5143985,34.3255196,39.646615,36.836503,33.18670761,37.53888501
"ATM",88.834866,42.2645276,94.186407,96.3919,61.345167,66.930805,51.279343,83.156574,76.197723,83.385688,65.8269775,52.78457,78.879751
"ATP1B1",4.14108,4.58264,3.97188,4.13347,3.11066,5.69325,2.780692,2.46076,1.73614,2.13369,0.945406,2.47798,3.01708
"ATP5IF1",64.6835,40.827112,81.185647,60.12901,73.1538,54.72296,58.03431,60.54592,75.6195,84.66868,83.00869,57.05114,82.593756
"ATP6AP1",143.768456,219.0854,214.799875,228.268675,182.996031,184.1204841,150.56373,119.375251,138.2349668,147.208738,135.07598,147.071773,182.57024
"ATP6V0A2",8.39412,9.839616,13.411503,16.865642,9.00967,8.287659,6.94646,16.395057,12.964096,17.028295,9.746337,9.622785,8.849783
"ATP7A",4.91606,5.976792,3.830178,2.839019319,3.998136,2.903896,3.6107938,3.449483,3.906083,3.8832,4.443006,3.119919,2.097927
"ATXN1L",17.84051,15.234103,15.467478,14.865337,15.45947,17.56762,16.176889,6.857591,7.20835,10.89785,7.26997,19.1831,31.42794
"AXL",1.77309,2.65827,1.8021,2.42961,2.42454,2.58466,2.28617,0.914701,1.36922,2.22458,1.15946,0.669599,3.15514
"AZGP1",0,0,0,0,0,0.134843,0.14363,0,0,0.435181,0,0.148298,0
"AZI2",71.90263,61.974797,86.4924,81.412662,58.856793,91.8455749,73.168705,69.217849,48.394123,88.992349,89.661732,73.83727,43.217332
"AZU1",2.598479,1.592679,2.198291,1.592351,0.308265,2.639603,5.93717,4.40416,1.884943,2.354434,1.738369,5.14754,0.759136
"B2M",39559.42043,45050.0526,29337.7281,26912.9653,36351.0614,36136.9103,22269.32988,23687.93974,23216.0902,25167.80286,19216.0739,23589.19171,32460.8012
"B4GALT1",56.7115137,53.9421,67.5053,65.2992,53.4762,89.480425,37.1066,44.322,47.9951,51.6409,48.1326,83.8663,93.859654
"BABAM1",104.311805,123.42628,125.46306,123.44056,115.734388,97.253929,103.87116,84.664372,101.438472,98.637566,85.537103,91.4805921,70.81283
"BACH2",6.979472979,19.98069,10.168275,3.249151,13.42040103,10.88343701,14.36456057,22.812912,10.204548,12.577131,12.116869,6.227612396,21.15944647
"BAD",26.685564,26.509607,37.50726,29.492321,31.86364,33.49027,29.466601,23.15209,22.32816,20.957572,23.46351,29.531737,29.18692
"BAG6",46.36994145,51.88361,59.91450049,56.02904991,68.98933019,63.0331,42.80121149,41.93372288,45.102912,30.05695124,44.9826311,43.48395,47.789011
"BAK1",50.83909,71.24695,55.625133,58.78193,93.04747,46.65609,50.98105,40.464904,51.39669,52.76483003,55.21622964,76.10562449,51.06882
"BANF1",67.90507,40.16257,68.244988,33.40009,45.025639,43.203038,45.917373,41.63226,71.048983,60.56413,52.25451,37.841999,41.68834
"BANK1",35.901195,30.386992,43.89368,25.69855,47.48547,57.26227,52.560718,86.27005,45.58543395,43.80091,45.68171,32.14478,55.740648
"BAP1",40.432452,62.562083,64.787118,87.820531,51.66505,55.131174,30.903102,32.447459,48.786229,33.771877,40.310014,49.355157,73.67024
"BATF",17.54601,12.9663,14.5624,7.2797,12.2366,12.91638,15.5307,22.8076,26.28,22.7753,12.3493,7.444461,8.74795
"BATF2",1.8006141,4.735955221,2.58781,0.761851,1.7887779,0.836419,10.051915,3.2846981,7.9169,3.86323,2.6227,1.211591,0.0680108
"BATF3",10.730613,10.28116,2.260728,5.17531,4.937909,2.587133,3.2440933,2.138558,3.97115,2.787558,5.9601875,2.910306,5.00342
"BAX",17.70892,14.684404,35.052605,19.37123,17.211152,16.863793,17.720481,25.40642,27.778586,33.949999,21.657143,21.872374,29.339943
"BCL10",30.59847,21.99761781,21.125,28.6308,26.6586,32.57301,14.847949,20.3383,20.47285,24.1917,25.16328,31.88354,21.42284
"BCL11B",12.12331817,6.161875906,10.70813,12.04575741,15.64711141,14.7836464,6.81889264,6.9335712,10.28137,8.1353576,7.4447298,6.62039,8.730570108
"BCL2",5.632702,5.646239,10.674902,5.7718297,8.344568,7.217618,9.541344,9.123639,6.000417,6.084357,7.012287,5.69904,11.85274
"BCL2L11",21.81983337,31.536164,26.16586234,41.06112719,37.42848015,27.41737374,27.1381709,23.768718,15.63025412,19.46228871,31.664184,33.5237058,44.57826927
"BCL3",6.167921,5.123554,11.358815,2.485113,4.906883166,8.298523,4.5918236,3.617228,11.6329303,8.629289,4.06921,9.140076,10.700496
"BCL6",44.98555,63.675909,45.84492425,88.256474,37.281428,113.847725,76.16132,62.4525,32.8424459,60.76428,67.740646,78.906321,79.39426
"BCL6B",0,0,0,0,0,0,0,0,0,0,0.0330375,0,0
"BCR",9.947546,3.282654752,18.695386,13.882597,8.034586,14.670221,10.81701,4.311308,16.631084,8.85436758,7.1126053,10.62984724,8.708753
"BDKRB1",2.10138,1.64525,1.22464,2.82269,0.826795,2.24892,0,0.851485,0.479662,0.491937,0.755558,2.91906,2.58134
"BGLAP",1.914783,0,0,2.516864,0.279723,1.209284,1.098365,3.28097,0.678132,3.47031,1.932159,1.26202,4.39181
"BID",118.13498,130.03356,111.673557,86.16112,102.4052851,107.916243,102.265622,88.490526,91.45192366,146.0134138,114.1430159,113.44738,111.63551
"BIRC2",66.66403636,76.0877139,51.663097,58.529245,69.62977,47.7606971,49.72596,47.810488,49.608869,47.188591,70.914017,42.07950641,65.83460873
"BIRC3",116.845106,66.523944,89.19865,64.90674237,108.097228,98.81984,46.317209,89.281913,65.474356,50.22215,58.108436,52.841905,127.4356485
"BLK",18.78342,5.45631,33.638797,20.268193,23.14988,16.645901,20.818677,27.548709,16.357783,23.550804,13.496418,16.89313,23.837276
"BLNK",22.358094,31.99685,27.245683,22.563997,39.76741,28.663412,48.076671,44.406436,28.605934,33.643803,32.418381,19.559863,36.056724
"BLOC1S3",10.9058,16.093101,15.711021,18.2381,24.281892,12.4397,11.709935,16.1466,16.297154,20.018704,18.2438,19.93659463,12.014629
"BLOC1S6",77.211159,99.575327,95.900932,83.59100594,89.349374,150.078453,107.745503,117.548275,85.942051,106.592685,82.673492,141.684838,124.89927
"BMI1",12.949222,10.66231,16.7402979,27.698388,11.54504,12.72943,17.809555,22.802131,11.84539,25.740796,17.56617,11.35884,17.66177
"BMP4",0,0.05898827,1.2173678,0,0.6247453,0.8067996,0,0.06079089,0.2932108,0.2900777,0.4473695,0.2807645,0.1585388
"BMP5",0.0242446,0,0,0,0.0465399,0,0,0,0,0.0218265,0,0.0222779,0
"BMP6",2.96764,2.25453,6.94891,2.52018,0.747199,3.44631,0.66671,2.60404,3.03671,2.86607,2.15463,0.78019,1.4205
"BMPR1A",0.865023,0.286302,0.545117,1.07926,1.6148712,0.426682,0.766389,1.570619,1.08558639,1.108657292,1.156714,0.88324237,0.830017
"BMX",0.195752,0.189253,0,0,0,0,1.218692,0.823087,0,0,1.71947,1.01321517,0
"BPGM",63.212344,54.22692,44.69956,57.590761,40.450022,41.06956,46.383889,28.71325,59.14165,27.67769,37.87043,39.48423,27.938074
"BPI",11.480801,13.651915,13.492069,29.154943,3.836832,7.001431,48.0505,21.68853892,5.2648639,3.15903,9.571171,50.881968,5.90287
"BPIFB1",0.180608,0.26474,0.219854,0.330601,0.155649,0,0.102466,0.262537,0.214139,0.388391,0.326342,0.075391,0.873348
"BPIFB3",0,0.355316,0,0,0,0.185216,0,0,0,0,0,0.06766,0
"BRAF",22.43625,18.231622,15.424088,15.9945,13.632532,19.153745,12.679194,20.24462,18.207889,9.006781,14.117669,18.79927,17.145925
"BRCA2",2.40401803,1.191755,0.0365465,3.5831,5.486234,2.8518358,6.0310622,2.920238276,4.459442,3.364851,3.503403,3.160126,4.191095
"BRD1",10.73514903,7.421412,13.7448012,15.70785,11.859415,8.808132,10.17838064,8.12003599,10.55241358,8.511199,7.659475,16.5252385,20.10360904
"BRD7",14.6518,17.449624,17.111731,21.82366,17.49154,12.309743,21.6708,12.8875,16.507097,20.31283,14.978117,9.994316,17.99301
"BRPF1",7.017117,10.497734,18.354198,16.622956,9.522993,11.228802,9.127459,10.864773,9.195578,14.637556,12.449089,11.934865,15.087529
"BRPF3",5.064322,6.597345,9.025139,9.737803007,4.737617,4.063222,8.920654,4.223149392,12.314721,6.167526,5.387855,7.783113439,8.786541625
"BSG",220.279248,215.685429,210.538836,327.624063,246.540654,227.605935,177.527296,164.315376,206.582556,162.822196,204.05021,210.334031,170.085982
"BST1",79.08742,154.96703,127.57205,112.71883,105.55526,137.26515,102.90218,94.65124,70.77913494,150.7418,83.84651,141.49696,103.8019
"BST2",162.95875,127.86564,93.46767,86.2381,126.6555,117.93157,163.602,107.76324,119.03436,140.94182,84.28236,101.396,92.6415
